doi,satis,confirm,ideal,comp,handle,nocomp
5,8,8,7,0,,1
69,8,7,6,0,,1
333,9,10,10,0,,1
363,7,7,7,0,,1
86,8,9,10,0,,1
73,7,7,8,0,,1
106,7,6,6,0,,1
312,8,6,7,1,7,
146,7,7,7,0,,1
161,6,7,8,0,,1
4,8,8,8,0,,1
2024-09-23,3,3,3,0,,3
2024-08-12,8,8,8,0,,1
2024-11-20,7,7,7,0,,2
2024-08-04,6,5,5,0,,2
111,9,7,8,0,,1
271,6,8,6,0,,1
295,6,8,7,0,,1
295,7,8,9,0,,1
2024-08-14,6,6,8,0,,1
246,8,8,6,0,,1
2024-07-06,7,5,5,0,,1
2024-07-15,7,6,8,0,,1
2024-02-24,7,8,8,0,,1
2024-02-19,6,7,7,0,,1
2024-03-24,7,5,4,0,,1
270,7,8,8,0,,1
2024-01-06,8,7,6,1,5,
310,8,7,8,0,,1
77,7,8,6,0,,1
2024-07-05,7,6,5,0,,1
334,8,6,6,0,,1
17,7,8,7,0,,1
177,6,8,5,0,,1
2024-04-16,8,7,8,0,,1
2024-12-30,7,7,8,0,,1
41,8,8,6,0,,1
2024-07-27,7,6,8,0,,1
188,6,,,0,,1
2024-11-11,6,4,5,0,,1
2024-10-11,5,7,7,0,,1
2024-04-21,7,6,6,0,,1
2024-03-11,9,9,10,0,,1
2024-01-16,6,6,5,0,,1
229,7,8,7,0,,1
2024-01-09,6,4,3,1,6,
2024-03-23,8,7,8,0,,1
2024-01-22,6,6,6,0,,1
226,7,7,6,0,,1
2024-12-04,9,9,7,0,,1
2024-10-09,8,8,6,0,,1
2024-02-02,8,6,8,0,,1
2024-02-12,6,6,5,1,7,
2024-04-26,8,6,5,0,,1
2024-04-01,8,9,8,1,7,
108,7,6,7,0,,1
265,8,9,7,0,,1
2024-10-01,8,6,5,0,,1
2024-07-27,8,6,6,0,,1
218,6,6,8,0,,1
2024-04-11,8,7,8,0,,1
2024-08-03,6,6,5,0,,1
46,8,6,5,0,,1
315,8,6,5,0,,1
2024-12-09,6,7,8,0,,1
40,8,6,5,0,,1
266,7,7,8,0,,1
116,8,8,9,0,,1
147,8,6,5,0,,1
23,8,8,6,0,,1
38,5,7,5,0,,1
122,8,6,7,0,,1
2024-05-12,7,7,8,0,,1
2024-10-22,6,7,6,0,,1
2024-12-16,5,3,3,0,,3
136,7,8,7,0,,1
359,7,7,9,1,5,
294,4,3,3,0,,3
2024-01-27,7,7,8,0,,1
345,6,3,2,0,,3
188,6,7,8,0,,1
271,8,8,7,0,,1
63,7,8,8,0,,1
230,7,8,6,0,,1
231,7,5,5,0,,1
2024-04-10,7,7,8,0,,1
2024-06-22,8,7,7,1,8,
2024-07-21,7,8,8,0,,1
2024-05-07,6,7,6,0,,1
2024-01-31,7,6,6,0,,2
2024-05-13,8,6,6,0,,1
2024-08-01,7,8,6,0,,1
300,6,7,5,0,,1
131,8,7,6,0,,1
2024-04-29,8,8,7,0,,1
2024-07-23,7,8,6,0,,1
2024-10-27,7,6,,0,,1
157,7,8,6,0,,1
2024-09-08,7,7,6,0,,1
2024-02-23,7,,,0,,1
243,8,6,6,0,,1
2024-11-21,7,7,8,0,,1
169,9,8,7,0,,1
234,6,8,7,0,,1
2024-10-26,7,6,8,0,,1
2024-03-05,8,8,7,0,,1
151,6,6,7,1,8,
202,6,6,7,0,,1
190,9,7,9,0,,1
2024-12-10,6,4,6,0,,1
56,6,6,8,0,,1
2024-12-09,7,6,3,0,,1
2024-03-29,9,10,7,0,,1
2024-05-21,7,5,7,0,,1
2024-03-18,9,7,7,0,,1
329,6,6,8,0,,1
2024-11-15,7,6,8,0,,1
244,8,7,7,0,,1
264,9,8,8,0,,1
222,5,4,4,1,5,
321,6,7,4,0,,1
2024-07-27,8,6,8,0,,1
2024-03-17,7,6,7,0,,1
2024-05-03,7,6,7,0,,1
20,8,6,5,0,,1
2024-04-09,8,9,7,0,,1
72,2,3,1,1,2,
2024-03-01,9,6,6,0,,1
2024-03-28,9,7,5,0,,1
253,9,8,7,1,5,
2024-10-03,6,6,5,0,,1
258,7,6,5,0,,1
98,8,6,8,0,,1
2024-03-21,9,7,8,0,,1
2024-04-16,6,7,7,0,,1
2024-10-16,7,7,8,0,,1
2024-02-04,7,7,5,0,,1
2024-02-03,8,7,7,0,,1
2024-03-04,7,8,8,0,,1
2024-08-04,8,6,5,0,,1
2024-06-10,8,8,3,0,,1
2024-06-07,10,9,8,1,10,
309,9,9,10,1,9,
341,9,8,9,0,,1
47,9,8,8,0,,1
307,8,6,5,0,,1
298,8,7,9,0,,1
208,8,6,6,0,,1
2024-05-24,6,7,8,0,,1
2024-04-08,5,5,5,0,,1
56,8,6,5,0,,1
2024-12-20,8,7,5,0,,1
2024-05-21,8,6,8,0,,1
10,6,7,6,0,,1
2024-12-21,3,5,5,0,,3
2024-10-16,6,6,8,0,,1
2024-01-14,7,6,5,0,,1
295,8,8,8,0,,1
339,7,8,7,0,,2
2024-03-22,7,7,6,0,,1
2024-04-29,7,7,6,0,,1
352,9,8,9,0,,1
310,6,6,5,0,,1
129,3,3,,1,4,
2024-03-23,7,7,8,0,,1
2024-01-23,6,6,5,0,,1
2024-08-17,5,6,5,0,,1
2024-12-14,7,9,9,0,,1
2024-11-22,8,6,6,0,,1
2024-08-09,7,7,7,0,,1
127,6,6,8,0,,1
336,7,6,9,0,,1
208,8,9,7,0,,1
2024-01-30,6,7,9,0,,1
252,7,9,8,0,,1
2024-03-20,7,8,9,0,,1
3,5,8,6,0,,1
146,8,8,9,0,,1
2024-12-22,9,10,8,0,,1
2024-09-04,10,7,7,0,,1
166,10,10,8,0,,1
2024-03-31,8,7,9,0,,1
2024-11-13,6,6,7,0,,1
219,6,7,8,0,,1
2024-05-26,7,7,8,0,,1
74,6,8,9,0,,1
2024-10-24,7,5,5,0,,1
169,7,8,7,0,,1
2024-11-15,8,8,6,0,,1
359,5,5,,0,,3
2024-04-16,5,5,5,0,,3
2024-07-06,5,5,,1,4,
2024-09-06,7,8,6,0,,1
323,7,8,7,0,,1
2024-05-17,6,8,8,0,,1
2024-03-24,8,8,8,0,,1
2024-01-06,8,6,8,0,,1
141,8,8,7,0,,1
327,7,7,7,1,7,
116,7,8,7,0,,1
2024-11-27,8,8,6,0,,1
212,9,7,6,0,,1
2024-03-08,8,9,7,0,,1
66,6,10,8,0,,1
2024-05-07,6,9,9,0,,1
2024-03-16,9,8,6,0,,1
2024-12-23,10,10,8,0,,1
104,7,7,9,0,,1
2024-06-25,9,8,10,0,,1
2024-07-23,8,9,10,0,,1
126,7,8,6,0,,1
21,10,8,9,0,,1
2024-03-31,7,8,9,0,,1
2024-01-26,7,7,6,0,,1
220,8,8,6,0,,1
295,7,7,9,0,,1
87,9,8,8,0,,1
280,6,8,10,0,,1
2024-02-14,9,10,8,0,,1
2024-04-22,7,7,7,0,,1
2024-03-05,9,8,6,0,,1
2024-12-14,9,7,6,0,,1
90,7,8,8,0,,1
2024-05-15,8,8,7,0,,1
43,9,9,9,0,,1
174,8,8,9,0,,1
12,6,9,8,0,,1
2024-09-23,6,7,6,0,,1
202,8,8,6,0,,1
2024-07-29,7,7,7,0,,1
81,8,8,7,0,,1
2024-05-20,8,6,6,0,,1
2024-04-03,9,7,8,0,,1
2024-02-14,6,7,6,0,,1
2024-11-02,6,6,6,0,,1
303,8,7,7,0,,1
2024-08-23,7,7,6,0,,1
266,7,7,7,0,,1
260,9,7,7,0,,1
136,8,6,7,0,,1
267,5,7,6,0,,1
2024-07-18,6,7,7,0,,1
2024-07-12,8,6,7,0,,1
5,8,7,8,0,,1
175,8,10,7,0,,1
2024-05-13,8,7,8,0,,1
137,6,7,7,0,,1
2024-10-15,10,9,9,0,,1
2024-10-28,9,9,8,0,,1
2024-10-04,8,8,7,0,,1
114,8,6,7,0,,1
107,6,7,7,0,,1
2024-07-14,7,8,6,0,,1
288,5,6,5,0,,2
2024-05-05,7,8,7,0,,1
2024-05-07,7,7,6,0,,1
260,7,8,7,0,,1
191,8,6,6,0,,1
2024-06-23,7,7,6,0,,1
2024-10-25,8,8,7,0,,1
238,7,8,7,0,,1
296,7,7,6,0,,1
36,8,7,7,0,,1
2024-01-23,8,7,6,0,,1
2024-01-03,7,8,8,0,,1
2024-11-06,6,7,6,0,,1
86,9,9,7,0,,1
2024-08-17,7,8,7,0,,1
158,7,8,8,0,,1
102,6,8,7,0,,1
2024-02-07,8,8,8,0,,1
2024-09-01,9,7,7,0,,1
17,9,7,8,0,,1
80,8,8,7,0,,1
352,9,6,7,0,,1
59,8,7,8,0,,1
337,8,8,8,0,,1
46,7,6,5,0,,1
317,5,6,6,0,,1
351,10,10,8,0,,1
2024-03-15,8,9,9,0,,1
46,6,5,6,0,,1
2024-01-13,8,7,6,0,,1
286,6,7,6,0,,1
298,8,7,6,0,,1
2024-09-25,7,7,7,0,,1
81,7,7,7,0,,1
333,8,6,6,0,,1
328,8,6,7,0,,1
276,6,7,6,0,,1
2024-02-03,7,6,5,0,,1
65,7,8,6,0,,1
2024-08-14,8,7,7,0,,1
2024-07-26,6,7,7,0,,1
358,7,8,7,0,,1
74,10,10,9,0,,1
2024-01-29,7,7,8,0,,1
2024-10-10,7,8,7,0,,1
2024-08-26,7,8,6,0,,1
2024-12-06,8,8,7,0,,1
258,8,7,6,0,,1
269,6,7,7,0,,1
206,7,8,7,0,,1
2024-08-12,7,8,6,0,,1
138,6,8,6,0,,1
18,7,6,5,0,,1
40,7,7,6,0,,1
147,6,6,7,1,8,
249,8,6,5,0,,1
77,8,6,7,0,,1
2024-01-03,6,9,8,0,,1
2024-05-25,8,6,6,0,,1
2024-12-21,8,7,5,0,,1
246,6,8,9,0,,1
166,7,7,9,0,,1
2024-04-01,8,6,5,0,,1
2024-11-20,6,5,5,0,,1
2024-09-09,8,8,6,0,,1
2024-10-17,7,5,5,0,,1
2024-11-23,7,6,8,0,,1
2024-02-08,6,5,6,0,,1
2024-11-01,7,7,8,0,,1
2024-11-13,7,5,5,0,,1
2024-10-30,6,6,5,0,,1
203,7,6,6,0,,1
103,9,7,,1,8,
2024-09-29,7,5,6,0,,1
2024-11-19,6,7,8,0,,1
2024-03-09,10,9,7,0,,1
2024-04-11,9,7,7,0,,1
2024-10-29,6,7,7,0,,1
2024-04-21,8,7,7,0,,1
2024-01-18,7,6,7,0,,1
2024-04-27,6,8,6,0,,1
169,8,7,8,0,,1
2024-05-12,9,7,5,1,7,
2024-05-30,7,7,,0,,1
2024-12-23,9,9,7,0,,1
240,8,8,7,0,,1
2024-05-11,8,9,8,0,,1
2024-10-27,9,7,7,0,,1
13,8,9,8,0,,1
261,8,9,8,0,,1
173,9,8,9,0,,1
80,10,9,9,0,,1
246,8,7,8,0,,1
261,7,8,8,0,,1
2024-07-21,7,8,9,0,,1
227,6,8,8,0,,1
2024-06-15,5,6,6,0,,1
147,8,5,8,0,,1
2024-08-29,7,5,5,0,,2
2024-02-03,6,6,5,0,,1
2024-06-21,7,7,6,0,,1
34,8,8,6,0,,1
16,7,5,5,0,,1
2024-12-12,7,7,5,0,,1
2024-08-10,5,5,,1,4,
72,7,7,6,0,,1
60,8,6,,0,,1
2024-03-27,8,7,6,0,,1
2024-09-06,6,6,,0,,1
257,7,7,5,0,,1
2024-06-24,6,6,,0,,2
105,6,6,,0,,1
0,6,6,5,0,,2
2024-02-20,6,6,6,0,,1
2024-09-07,5,4,,1,3,
7,8,8,6,0,,1
2024-01-16,7,7,7,0,,1
2024-02-24,7,7,7,0,,1
2024-08-12,4,4,,0,,1
2024-08-17,6,6,5,0,,1
111,6,5,5,0,,1
2024-08-18,6,6,6,0,,1
90,6,7,7,0,,1
126,7,7,7,0,,1
2024-12-26,9,8,6,0,,1
326,10,9,9,0,,1
185,7,8,8,0,,1
2024-11-09,8,9,8,0,,1
281,5,6,5,0,,1
2024-04-13,8,8,7,0,,1
38,8,7,7,0,,1
245,8,8,7,0,,1
16,8,8,7,0,,1
75,8,5,5,0,,1
330,7,6,5,0,,1
2024-11-26,7,6,7,0,,1
293,7,6,5,0,,2
2024-04-22,6,7,7,0,,1
45,6,6,5,0,,1
254,6,6,6,0,,1
43,5,5,4,0,,1
184,5,6,6,0,,1
61,5,6,6,0,,1
2024-04-30,7,8,7,0,,1
2024-02-20,7,6,6,0,,1
2024-09-14,6,6,5,0,,1
39,6,6,5,0,,1
2024-06-06,2,5,6,1,3,
300,6,6,6,0,,1
2024-10-29,6,7,6,0,,1
2024-09-01,5,7,6,0,,1
317,6,7,6,0,,1
121,5,7,6,0,,1
22,5,6,6,0,,3
113,5,6,5,0,,2
131,8,8,8,0,,1
320,3,3,2,1,4,
110,7,7,5,0,,2
321,6,5,5,0,,2
180,7,7,6,0,,1
301,8,8,6,0,,1
239,7,6,6,0,,1
290,8,6,7,0,,1
3,9,8,7,0,,1
2024-08-29,8,8,8,0,,1
100,7,8,6,0,,1
2024-05-25,8,6,7,0,,1
59,5,6,7,0,,1
226,7,8,7,0,,1
222,9,7,6,0,,1
69,9,7,7,0,,1
2024-02-13,8,7,6,0,,1
8,8,9,7,0,,1
277,6,8,7,0,,1
2024-09-22,7,8,6,0,,1
2024-05-10,7,6,6,0,,1
2024-08-08,8,7,7,0,,1
345,3,3,5,1,2,
2024-12-03,8,6,7,0,,1
2024-10-11,8,8,8,0,,1
2024-02-16,5,4,4,1,5,
110,5,5,5,0,,1
45,6,6,6,0,,2
2024-09-20,5,5,5,0,,1
2024-03-26,9,8,7,0,,1
2,6,7,6,0,,1
118,7,8,7,0,,1
2024-08-09,8,7,8,0,,1
21,7,8,7,0,,1
2024-06-23,8,7,7,1,8,
2024-03-20,8,8,6,0,,1
2024-08-23,7,7,6,0,,1
2024-07-30,8,7,6,0,,1
352,8,8,6,0,,1
29,9,8,7,0,,1
2024-07-07,8,8,7,0,,1
2024-05-01,7,8,6,0,,1
41,8,7,7,0,,1
2024-07-25,8,8,7,0,,1
2024-06-30,7,7,5,0,,1
286,8,7,7,0,,1
157,9,8,7,0,,1
2024-10-21,8,9,8,0,,1
267,7,6,6,0,,1
2024-03-30,9,6,6,0,,1
8,7,5,6,0,,1
2024-05-20,8,7,8,0,,1
2024-11-07,9,7,6,0,,1
42,8,7,7,0,,1
2024-01-06,9,7,7,0,,1
2024-09-23,6,5,5,0,,2
221,9,7,7,0,,1
308,5,5,5,0,,1
147,6,6,6,1,6,
2024-06-27,7,8,6,0,,1
84,8,7,5,0,,1
251,6,8,7,1,7,
272,3,4,2,0,,1
244,9,10,9,0,,1
2024-02-10,8,7,6,0,,1
198,8,7,8,1,8,
2024-05-19,7,7,8,0,,1
2024-04-12,8,8,8,0,,1
2024-04-04,8,7,6,0,,1
2024-06-15,7,8,7,0,,1
184,5,5,3,1,2,
2024-02-27,5,5,,0,,3
96,6,6,3,0,,2
2024-11-08,7,7,,0,,2
177,6,6,6,0,,3
2024-11-09,6,6,4,1,6,
2024-10-31,9,10,7,0,,1
217,10,10,10,0,,1
2024-06-21,7,7,6,0,,3
2024-07-31,9,9,8,0,,1
2024-06-26,8,9,7,0,,1
250,7,7,6,0,,1
2024-12-22,9,10,10,0,,1
299,6,7,6,0,,1
65,8,7,7,0,,1
157,9,8,9,0,,1
2024-08-13,8,7,7,0,,1
2024-10-19,7,7,6,0,,1
2024-02-24,7,6,7,0,,1
125,9,7,8,0,,1
2024-04-08,7,9,8,0,,1
115,7,7,6,0,,1
2024-10-08,8,6,7,0,,1
2024-11-29,7,6,6,0,,1
90,8,8,8,0,,1
2024-07-03,7,7,6,0,,1
2024-10-11,4,5,4,1,3,
2024-05-18,8,9,7,0,,1
2024-07-22,6,7,6,0,,1
236,6,7,7,0,,1
2024-07-27,7,7,6,0,,1
332,9,10,8,0,,1
308,6,7,6,1,5,
179,7,8,6,0,,1
2024-12-04,8,9,8,0,,1
2024-02-27,7,6,5,0,,1
2024-01-03,7,6,6,0,,1
2024-07-25,9,9,8,0,,1
293,5,7,6,1,6,
116,8,8,7,0,,1
2024-03-10,7,7,8,0,,1
2024-12-29,9,6,6,0,,1
150,7,6,7,0,,1
2024-01-24,8,5,6,0,,1
33,6,7,6,0,,1
2024-04-05,7,6,6,0,,1
14,7,8,7,0,,1
148,6,7,6,0,,1
334,8,8,7,0,,1
130,7,7,6,0,,1
2024-01-16,7,7,6,0,,1
49,8,8,7,1,9,
2024-07-22,8,7,7,0,,1
2024-05-17,7,7,5,0,,1
76,9,9,8,0,,1
337,8,7,7,0,,1
360,7,8,6,0,,1
62,7,7,7,0,,1
2024-11-21,7,5,6,0,,1
345,8,8,8,0,,1
2024-01-20,8,7,7,0,,1
156,6,5,5,0,,2
2024-12-23,8,7,7,0,,1
2024-08-13,7,6,7,1,8,
55,5,6,6,0,,1
2024-11-26,9,9,8,0,,1
26,5,5,5,0,,2
2024-08-23,8,8,7,0,,1
2024-01-04,6,6,5,0,,1
39,6,6,7,0,,1
2024-07-06,8,7,7,0,,1
2024-03-30,8,7,7,0,,1
2024-09-05,8,8,7,0,,1
2024-08-31,8,8,7,0,,1
2024-04-19,8,9,7,0,,1
2024-07-01,9,8,8,0,,1
2024-08-05,6,5,6,0,,1
2024-06-23,7,8,5,1,6,
2024-08-06,7,7,6,0,,1
206,7,7,8,0,,1
2024-01-12,8,5,7,0,,1
166,8,6,8,0,,1
2024-03-09,8,8,7,0,,1
208,6,6,5,1,5,
105,7,6,7,0,,1
268,7,7,8,0,,1
296,7,8,8,0,,1
2024-11-07,8,7,8,1,7,
2024-10-31,8,8,8,1,8,
2024-08-09,7,7,6,0,,1
193,9,9,8,0,,1
303,8,6,6,0,,1
2024-07-26,5,5,4,1,5,
2024-05-05,7,7,6,0,,1
2024-01-08,7,8,6,0,,1
2024-01-24,7,6,7,0,,1
94,6,7,5,0,,1
2024-02-07,6,5,5,0,,1
2024-09-27,8,9,8,0,,1
145,10,10,9,0,,1
279,7,6,5,0,,1
2024-08-19,7,8,6,0,,1
2024-11-16,8,8,7,0,,1
2024-06-27,7,4,5,0,,1
294,7,7,8,1,7,
205,7,7,7,0,,1
2024-05-24,7,8,6,0,,1
104,6,6,7,0,,1
91,9,8,6,0,,1
2024-05-21,6,7,7,0,,1
68,8,7,7,0,,1
285,7,6,7,0,,1
123,6,7,5,0,,1
2024-05-09,5,6,4,0,,1
273,8,7,8,0,,1
2024-09-07,7,7,5,1,6,
66,6,8,7,0,,1
2024-11-07,6,7,6,0,,1
262,7,6,7,0,,1
2024-01-16,9,8,7,0,,1
2024-01-17,7,8,7,0,,1
39,8,7,9,0,,1
145,7,6,7,0,,1
244,6,7,8,0,,1
2024-02-26,6,8,6,0,,1
276,7,6,7,0,,1
2024-04-30,7,6,6,0,,1
138,8,8,6,0,,1
2024-11-28,8,7,6,0,,1
2024-05-29,7,6,5,0,,1
2024-04-23,5,6,7,0,,1
121,8,7,6,0,,1
2024-09-24,8,6,5,0,,1
243,5,7,7,0,,1
51,8,9,8,0,,1
253,6,7,6,0,,1
2024-01-19,7,8,7,0,,1
64,7,9,8,0,,1
264,8,7,8,0,,1
2024-02-02,9,8,7,0,,1
101,4,5,5,1,7,
2024-02-16,8,7,6,0,,1
289,8,7,6,0,,1
216,8,7,6,0,,1
212,7,8,6,0,,1
48,5,6,7,0,,1
335,8,8,8,0,,1
73,6,7,8,0,,1
2024-03-29,7,5,4,1,8,
222,8,6,7,0,,1
115,6,8,7,0,,1
276,6,5,7,0,,1
2024-11-01,8,6,6,0,,1
2024-11-27,6,5,7,0,,1
2024-01-11,7,6,8,1,7,
2024-06-03,4,4,4,0,,1
8,7,8,6,0,,1
311,7,6,7,0,,1
73,6,8,6,0,,1
161,7,8,8,0,,1
2024-08-08,7,6,5,0,,1
2024-09-09,8,7,7,0,,1
2024-08-26,7,6,7,0,,1
2024-03-10,7,7,8,0,,1
2024-12-28,8,10,8,0,,1
141,10,8,7,0,,1
2024-12-16,9,7,6,0,,1
232,8,7,6,0,,1
113,6,5,7,0,,1
232,6,6,5,0,,1
92,6,8,7,0,,1
129,7,6,5,0,,1
6,8,7,6,0,,1
2024-01-08,8,7,8,0,,1
18,6,7,7,0,,1
71,7,7,8,0,,1
2024-10-29,6,7,7,0,,1
2024-07-20,8,9,8,0,,1
2024-04-08,7,8,6,0,,1
2024-09-10,8,10,8,0,,1
2024-08-30,6,7,5,0,,1
2024-03-27,9,8,7,0,,1
72,7,9,9,0,,1
2024-04-10,7,8,7,0,,1
284,7,8,8,0,,1
2024-01-28,7,8,6,0,,1
11,5,6,5,0,,1
342,8,8,9,0,,1
217,7,6,7,0,,1
2024-02-28,7,5,6,0,,1
7,5,4,5,0,,1
2024-08-12,8,7,6,1,4,
2024-01-07,6,7,8,0,,1
89,4,6,6,1,4,
2024-03-03,8,7,8,0,,1
2024-02-15,8,7,5,0,,1
2024-02-09,6,8,7,1,4,
2024-02-28,8,6,7,0,,1
177,7,7,7,0,,1
2024-12-11,7,8,8,0,,1
2024-04-09,7,6,5,0,,1
192,7,6,7,0,,1
296,6,5,6,0,,1
174,10,8,7,0,,1
2024-12-14,8,8,9,0,,1
125,7,6,7,0,,1
312,8,6,7,0,,1
91,6,8,7,0,,1
2024-09-04,8,6,7,0,,1
2024-08-23,6,7,6,0,,1
69,8,6,6,0,,1
4,5,7,7,0,,1
181,9,6,6,0,,1
2024-06-10,9,8,8,0,,1
2024-09-20,8,7,7,0,,1
2024-04-15,7,6,5,0,,1
98,8,7,6,0,,1
2024-06-28,7,7,6,0,,1
2024-08-23,6,6,7,0,,1
2024-09-29,7,7,6,0,,1
2024-10-17,7,8,7,0,,1
269,7,8,7,0,,1
112,6,7,4,0,,3
117,7,7,6,0,,1
2024-09-08,7,8,6,0,,1
2024-06-23,8,9,8,0,,1
117,7,7,8,0,,1
2024-03-07,6,8,5,0,,3
2024-12-08,8,8,9,0,,1
54,5,5,7,0,,1
2024-12-06,7,6,5,0,,1
78,9,9,7,0,,1
2024-04-08,7,7,5,0,,1
260,6,6,7,0,,1
274,7,8,7,1,8,
2024-08-16,7,8,7,0,,1
318,5,6,5,1,4,
2024-06-26,6,5,8,0,,1
295,7,6,7,0,,1
215,7,8,7,0,,1
2024-07-08,7,6,5,0,,1
2024-10-28,10,9,10,0,,1
210,5,7,6,0,,1
2024-05-25,6,7,8,0,,1
2024-04-09,7,6,8,0,,1
57,5,8,6,0,,1
2024-12-23,8,7,9,0,,1
2024-06-01,7,5,6,0,,1
2024-02-25,6,7,5,0,,1
2024-07-04,9,7,8,0,,1
32,7,6,7,0,,1
333,8,7,7,0,,1
2024-04-21,9,6,6,0,,1
285,7,5,6,0,,1
361,8,7,6,0,,1
224,8,7,5,0,,1
2024-02-04,6,5,7,0,,1
230,6,5,7,0,,1
320,8,7,7,0,,1
2024-06-30,7,7,5,0,,1
2024-11-05,7,6,8,0,,1
2024-09-28,8,9,6,1,8,
64,6,8,6,0,,1
238,5,5,5,0,,2
268,6,6,5,0,,1
260,5,5,5,0,,3
134,7,6,8,0,,1
253,7,7,6,0,,1
134,7,6,7,0,,1
2024-10-06,5,7,9,0,,1
2024-09-18,8,6,4,0,,1
2024-04-16,8,7,9,0,,1
2024-04-22,5,4,5,1,4,
242,6,7,8,0,,1
2024-05-24,8,7,6,0,,1
359,6,8,8,0,,1
2024-09-25,6,5,9,0,,1
2024-09-20,6,7,5,0,,1
147,6,7,7,0,,1
310,5,6,4,0,,1
16,6,5,8,0,,1
245,9,9,10,0,,1
84,8,6,7,0,,1
49,5,4,6,1,8,
357,7,7,5,0,,2
180,2,1,2,1,1,
2024-07-14,6,6,3,0,,1
71,8,6,8,1,5,
2024-05-15,7,6,7,0,,1
99,7,8,6,0,,1
89,7,8,7,0,,1
149,6,8,7,0,,1
113,6,5,6,0,,1
2024-04-28,7,8,6,0,,1
2024-09-11,6,8,6,0,,1
183,8,7,6,0,,1
157,8,5,7,0,,1
234,6,5,6,0,,1
2024-12-02,7,8,7,0,,1
250,7,6,5,0,,1
240,6,7,6,0,,1
85,8,7,7,0,,1
2024-03-11,7,7,6,0,,2
2024-04-05,6,5,6,0,,1
2024-09-24,6,6,8,0,,1
322,7,8,5,0,,2
2024-03-21,7,7,6,0,,1
2024-06-10,6,7,6,0,,1
2024-07-22,6,7,6,0,,1
2024-06-17,8,8,6,0,,1
230,6,8,8,0,,1
2024-10-09,8,8,7,0,,1
357,8,8,7,0,,1
207,5,5,5,0,,1
2024-11-25,3,3,3,1,4,
295,8,8,8,0,,1
123,8,8,8,0,,1
2024-04-04,9,9,8,1,8,
2024-04-15,5,5,5,1,5,
2024-08-28,9,8,6,0,,1
159,6,5,8,0,,1
2024-03-14,9,8,8,0,,1
253,6,8,6,0,,1
318,7,6,7,0,,1
101,6,5,7,0,,1
283,6,7,7,0,,1
2024-01-15,9,8,7,0,,1
320,7,8,7,0,,1
96,7,6,7,0,,1
2024-09-08,9,7,6,0,,1
238,7,6,5,0,,1
2024-03-15,9,8,7,0,,1
2024-01-23,6,5,4,0,,1
2024-09-10,8,7,6,0,,1
2024-04-13,6,7,6,0,,1
2024-05-03,8,8,6,0,,1
2024-11-02,7,6,6,0,,1
2024-03-06,8,6,7,0,,1
2024-05-18,7,8,7,0,,1
2024-05-12,5,7,6,1,8,
2024-09-04,7,8,7,0,,1
2024-04-17,3,5,5,0,,1
159,8,6,6,0,,1
2024-04-22,7,6,6,0,,1
82,8,8,7,0,,1
73,9,7,7,0,,1
2024-05-03,8,7,7,0,,1
30,7,6,6,0,,1
145,7,6,5,0,,1
2024-09-30,9,8,7,1,8,
200,7,6,8,0,,1
2024-06-28,8,7,5,0,,1
2024-10-25,6,8,7,0,,1
2024-08-11,6,7,5,0,,1
220,8,6,7,0,,1
2024-03-09,9,7,8,0,,1
44,7,8,6,0,,1
19,7,6,6,0,,1
326,7,6,7,0,,1
113,7,6,6,0,,1
319,8,7,7,0,,1
162,8,7,8,0,,1
2024-08-05,9,8,6,0,,1
2024-08-22,9,8,7,1,8,
2024-06-04,9,9,7,0,,1
73,7,8,8,0,,1
2024-09-25,8,6,5,0,,1
26,8,6,6,0,,1
54,7,5,6,0,,1
193,7,7,6,0,,1
75,6,8,8,0,,1
2024-06-12,8,7,8,0,,1
2024-08-12,5,4,6,0,,1
265,8,7,6,0,,1
2024-10-18,6,8,7,0,,1
294,8,6,7,0,,1
235,6,8,7,0,,1
292,9,8,7,0,,1
2024-01-25,7,6,7,0,,1
340,8,7,8,0,,1
2024-06-16,6,7,7,0,,1
181,3,4,,1,7,
42,5,5,5,1,3,
2024-01-31,5,5,5,0,,1
2024-01-26,5,5,5,0,,1
36,4,4,4,0,,2
103,7,7,7,0,,1
2024-02-15,5,5,5,0,,1
282,6,6,4,1,6,
178,8,7,8,0,,1
47,7,6,7,0,,1
65,10,10,8,0,,1
185,8,8,7,0,,1
363,9,7,7,0,,1
169,8,6,7,0,,1
120,7,6,5,0,,1
95,8,7,6,0,,1
115,7,6,7,0,,1
290,7,7,5,0,,1
10,7,6,8,0,,1
2024-10-01,7,7,6,0,,1
249,6,8,7,0,,1
57,6,8,9,0,,1
268,6,5,7,0,,1
76,9,7,7,0,,1
307,7,8,7,0,,1
210,6,7,7,0,,1
2024-05-11,6,7,7,0,,1
2024-01-25,5,5,5,0,,1
2024-04-05,6,6,6,0,,1
36,5,5,6,0,,1
261,5,5,5,0,,2
103,2,2,1,1,1,
2024-04-08,7,6,6,0,,1
2024-07-01,7,6,6,0,,1
252,5,4,5,1,4,
350,8,8,8,0,,1
2024-09-22,7,5,5,1,5,
2024-09-30,7,7,7,1,9,
2024-07-26,8,8,8,0,,1
2024-08-04,7,7,7,1,5,
2024-04-04,4,3,1,0,,3
2024-07-07,9,9,8,1,8,
295,8,7,7,0,,1
2024-06-29,7,7,8,1,3,
17,8,6,5,0,,1
2024-10-03,4,5,5,0,,1
